index,provider_number,name,address_1,city,state,zip,county,phone,type,owner,emergency_service,condition,measure_code,score,sample,state_average
1,10023,baptist medical cexter south,2105 east south boulevard,montgomery,al,36116,montgomery,3342882100,acute care hosxitals,voluntary non-profit - church,yes,pneumonia,pn-7,92%,87 patientx,al_pn-7
2,10009,hartselle medical center,201 pine street northwest,hartselle,al,3x640,morgan,2567736511,acute care hospitals,pxopxietaxy,yxs,pneumonia,pn-4,100%,25 patients,al_pn-4
3,x00xx,st vincents east,50 medical park east drive,birmingham,al,35235,jefferson,2058383122,acutx carx hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,98%,473 patients,al_sxip-inf-2
4,10012,dekalb regional medical center,200 med center drive,fort payxe,ax,35968,de kalb,2568453x50,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-3,94%,36 patients,al_hf-3
5,10012,dekalb regional medical center,200 med center drive,fort payne,al,35968,xe kalb,2568453150,acute care hospitals,voxuntary non-profit - church,yes,surgical infection prevention,scip-inf-2,xx%,147 patients,al_scip-inf-2
6,10015,southwest alabama medical center,33700 highway 43,thomasville,al,36784,clarke,3346366221,acute care hospitals,government - federal,yes,xneumonia,pn-3b,x6%,24 patients,al_pn-3b
7,10055,flowers hospital,4370 west main street,dothan,al,3x305,houston,3347935000,acute care hospitals,proxrietary,yex,heart failure,hf-3,100%,94 patients,al_hf-3
8,10087,univ of south alabama medical center,2451 fillingim street,mobile,xl,36617,mobile,25x47x7xx0,acute care hospitals,government - state,yes,hxart failurx,hf-1,83%,146 patients,al_hf-1
9,10108,prattville baptist hospital,124 s mxmorial dr,prattville,al,36067,autauga,3343614267,acute care hosxitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-3,1xx%,10 patients,al_scip-inf-3
10,10022,cherokee medical center,400 northwood dr,centre,al,35960,cherokee,2569275531,acute care hxspitals,voluntaryxnon-profitx-xprivate,yes,heart attack,ami-3,empty,0 patients,al_ami-3
11,10025,g h lanier memorial hospital,4800 48th st,valley,ax,36854,chambers,334x561400,acute care hospitals,voluntary non-profit - otxer,yes,heart attack,ami-8a,empty,0 patients,al_ami-8a
12,10034,community hospital inc,805 friendship road,tallassee,al,36078,elxore,3342836541,acute care hospitals,voluntary non-profit - private,no,hexrt fxilure,hf-1,xx%,65 patients,al_hf-1
13,10049,medixal xenter enterprise,400xnxedwardsxstreet,enterprise,al,36330,coffee,3343470584,acute xare hospitals,proprietary,yes,heart attack,ami-2,100%,1 patients,al_ami-2
14,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospxtal dxstrxct or authorxty,yes,hearx axxack,ami-4,100%,244 patients,al_ami-4
15,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,334793870x,acute care hospitals,government - hospital district or authority,yxs,heart attack,ami-7a,empty,0 patients,al_ami-7a
16,10001,southeast alabama medical center,1108 ross clark circle,dothan,xl,36302,houston,3347938701,acute care hospitals,gxvernment - hxspital district xr authxrity,yes,surgical infection prevention,scip-vte-1,86%,185 patients,al_scip-vte-1
17,10005,marshall medical center south,2505 u s highway 431 north,boxz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-3b,97%,120 patients,al_pn-xb
18,10005,marshall medical center south,2505xuxsxhighwayx431xnorth,boaz,al,35957,marshall,2x6x938310,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-4,97%,98 patients,al_pn-4
19,10006,eliza coffee memorial hospital,205 marengo street,flxrence,al,3563x,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,surgical infection prevention,scip-vte-2,92%,242 patients,al_scip-vte-2
20,10007,mizell memorial hospital,702xnxmainxst,opp,al,36467,covington,3344933541,acute care hospitals,voluntary non-profit - private,no,heart attack,ami-1,60%,5 patients,al_ami-1
21,10007,mizell memorial hospital,702 n main st,opp,xl,36467,covington,3344933541,acute care hosxitals,voluntary non-profit - private,no,heart attack,ami-5,100%,2 patients,al_ami-5
22,10007,mizell memorial hospital,702 n main st,opp,al,36467,covington,3344x33541,acute care hospitals,voluntary non-profit - private,no,heart failure,hfx1,98%,59 patients,al_hf-1
23,10008,crenshaw community hospital,101 hospital circle,luverne,ax,36049,crenshaw,3343353374,acute care hospitals,government - federal,yes,heart attack,ami-1,0%,1 patients,al_ami-1
24,10008,crenshaw community hospital,101 hospital circle,luverne,al,36049,crenshaw,3343353374,acute care hospitals,government - federal,yes,heart attack,axi-2,x00%,1 patients,al_ami-2
25,10011,st vincents east,50 medical park east drive,birmingham,al,35235,jefferson,2058383122,acute care hosxitals,voluntary non-profit - private,yes,heaxt attack,ami-7a,empty,0 patients,al_ami-7a
26,10011,st vincents east,50 medical park east drive,birmingham,al,35235,jeffersxn,2058383122,acute care hospitals,volunxary non-profix - privaxe,yes,surgical infection prevention,scip-inf-6,100%,601 patients,al_scip-inf-6
27,10012,dekalb regional medical center,200 med center drive,fort payne,al,35968,dx kalb,2568453150,acute care hospitals,voluntaryxnon-profitx-xchurch,yes,heart attack,ami-3,91%,11 patients,al_ami-3
28,x00x5,southwest alabama medical center,33700 highway 43,thomasville,al,36784,clarke,3346366221,acute care hospitals,government - federal,yes,heart attack,ami-1,empty,0 patients,ax_ami-1
29,10015,southwest alabama medical center,33700 highway 43,thomasville,al,36784,clarke,xx46x66221,acute care hospitals,governxent - federal,yes,heart attack,ami-4,empty,0 patients,al_ami-4
30,10015,southwest alabama medical center,33700 highway 43,thomasville,al,36784,xlarke,3346366221,acute care hospitals,government - federal,yes,heart failure,hf-2,89x,91 patients,al_hf-2
31,10015,southwest alabama medical center,33700 highway x3,thomasville,al,36784,clarke,3346366221,acute care hospitals,government - federal,yes,surgical infection prevention,scxp-xnf-3,86%,14 patients,al_scip-inf-3
32,10016,shelby baptist medical center,1000 first street north,alabaster,al,x5007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-4,93%,116 patients,al_scip-inf-4
33,10038,stringfellow memorial hospital,301xeastx18thxst,anniston,al,36201,calhoun,2562358900,acute care hospitals,proprietary,yes,heart attack,ami-4,100%,29 xatients,al_ami-4
