beer-name,ounces,abv,ibu,brewery-name,city,state
Devil's Harvest Extra Pale Ale,16.0,0.058,60.0,Southern Prohibition Brewing Com...,Hattiesburg,MS
Threadless IPA,16.0,0.075,,Finch's Beer Company,Chicago,IL
Lee Hill Series Vol. 1 - Barrel Aged Brown Ale,19.2,0.076,,Upslope Brewing Company,Boulder,CO
Full Nelson Pale Ale,12.0,0.059,60.0,Blue Mountain Brewery,Afton,VA
Oktoberfest,12.0,0.062,,Rivertowne Brewing Company,Export,PA
Global Warmer,12.0,0.07,70.0,Sixpoint Craft Ales,Brooklyn,NY
Boston Lager,16.0,0.049,30.0,Boston Beer Company,Boston,MA
Fascist Pig Ale,16.0,0.08,72.0,Finch's Beer Company,Chicago,IL
Be Hoppy IPA,16.0,0.065,69.0,Wormtown Brewery,Worcester,MA
Sous Chef,16.0,0.082,,Brewery Vivant,Grand Rapids,MI
Hilliard's Amber Ale,16.0,0.055,60.0,Hilliard's Beer,Seattle,WA
Bikini Beer,12.0,0.027,,Evil Twin Brewing,Brooklyn,NY
Maduro Brown Ale,12.0,0.055,25.0,Cigar City Brewing Company,Tampa,FL
Sunshine Wheat Beer (2009),12.0,0.048,,New Belgium Brewing Company,Fort Collins,CO
Pete's Wicked Summer Brew (2002),12.0,0.047,,Pete's Brewing Company,San Antonio,TX
Liquid Amber Ale,12.0,,,Prescott Brewing Company,Prescott,AZ
Oakshire Amber Ale,12.0,0.054,24.0,Oakshire Brewing,Eugene,OR
Buffalo Sweat (2010),16.0,0.05,20.0,Tallgrass Brewing Company,Manhattan,KS
California Route,12.0,0.055,,New Belgium Brewing Company,Fort Collins,CO
Golden Road Hefeweizen,16.0,0.046,15.0,Golden Road Brewing,Los Angeles,CA
Double Haul IPA (2009),16.0,0.065,65.0,Kettle House Brewing Company,Missoula,MT
Summer Swelter,12.0,0.047,,Baxter Brewing Company,Lewiston,ME
Blueberry Berliner Weisse,12.0,0.055,,White Birch Brewing,Hooksett,NH
4Beans,12.0,0.1,52.0,Sixpoint Craft Ales,Brooklyn,NY
Heinnieweisse Weissebier,12.0,0.049,,Butternuts Beer and Ale,Garrattsville,NY
Köld Lager (2010),16.0,0.05,16.0,Tallgrass Brewing Company,Manhattan,KS
King Coconut,12.0,0.054,,Catawba Valley Brewing Company,Morganton,NC
13 Rebels ESB,12.0,0.052,42.0,French Broad Brewery,Asheville,NC
Dagger Falls IPA,12.0,0.063,100.0,Sockeye Brewing Company,Boise,ID
Winter White,16.0,0.05,,Bell's Brewery,Kalamazoo,MI
Filthy Hoppin' IPA,16.0,0.065,72.0,Dirty Bucket Brewing Company,Woodinville,WA
Moose Drool Brown Ale (2009),12.0,0.051,26.0,Big Sky Brewing Company,Missoula,MT
Apollo,16.0,0.052,11.0,Sixpoint Craft Ales,Brooklyn,NY
The Imperial Texan,16.0,0.08,,Martin House Brewing Company,Fort Worth,TX
Paddy Pale Ale,12.0,0.056,41.0,Wild Onion Brewing Company,Lake Barrington,IL
30 Min Coma,16.0,,,Sun King Brewing Company,Indianapolis,IN
Brutus,12.0,0.071,69.0,Texian Brewing Co.,Richmond,TX
Saint Archer IPA,12.0,0.068,66.0,Saint Archer Brewery,San Diego,CA
Pamola Xtra Pale Ale,12.0,0.049,28.0,Baxter Brewing Company,Lewiston,ME
Dog Days Lager,12.0,0.051,17.0,Two Brothers Brewing Company,Warrenville,IL
