beer-name,ounces,abv,ibu,brewery-name,city,state
Element 29,12.0 oz,0.052,,Epic Brewing,Denver,CO
Laka Laka Pineapple,12.0 oz.,0.051,17.0,Horny Goat Brew Pub,Milwaukee,WI
Mustang Sixty-Six,12.0,0.05,,Mustang Brewing Company,Mustang,OK
Pepper in the Rye,16.0 oz.,0.063,,Brewery Vivant,Grand Rapids,MI
BLAKKR,12.0,0.099%,85.0,Real Ale Brewing Company,Blanco,TX
Ace IPA,16.0,0.07400000000000001%,83.0,Wingman Brewers,Tacoma,WA
Milk Mustachio Stout,12.0 oz,0.065%,,Tractor Brewing Company,Albuquerque,NM
Farmer's Tan Red Ale,12.0,0.06,30.0,Tractor Brewing Company,Albuquerque,NM
Venture Pils,12.0 oz.,0.05,38.0,Bent Paddle Brewing Company,Duluth,MN
Sand Island Lighthouse,12.0 oz.,0.051,25.0,Straight to Ale,Huntsville,AL
Pail Ale,16.0 oz.,0.055,30.0,Chapman's Brewing,Angola,IN
Longhop IPA,16.0,0.042%,30.0,Bolero Snort Brewery,Ridgefield Park,NJ
Guest Lager,16.0 oz.,0.08,,Half Acre Beer Company,Chicago,IL
Elephant Rock IPA,12.0 oz.,0.07,75.0,Pikes Peak Brewing Company,Monument,CO
Deadicated Amber,16.0 oz.,0.054000000000000006%,27.0,Devil's Canyon Brewery,Belmont,CA
THP Light (2006),12.0,,,Cans Bar and Canteen,Charlotte,NC
Hopkick Dropkick,12.0,0.099,115.0,Burn 'Em Brewing,Michigan City,IN
Thai.p.a,16.0 oz,0.07,46.0,Bare Hands Brewery,Granger,IN
Gran Sport,16.0,0.052,,COOP Ale Works,Oklahoma City,OK
Dale's Pale Ale (10 Year Anniversary),12.0,0.065,65.0,Oskar Blues Brewery,Longmont,CO
Solitude,16.0 oz.,0.06%,,Brewery Vivant,Grand Rapids,MI
Ranger IPA,16.0 oz.,0.065%,70.0,New Belgium Brewing Company,Fort Collins,CO
Tybee Island Blonde,12.0 oz,0.047,17.0,Coastal Empire Beer Company,Savannah,GA
1327 Pod's ESB,12.0,0.055999999999999994%,37.0,Blue Blood Brewing Company,Lincoln,NE
Great Crescent Coconut Porter (2012),16.0 oz.,0.055999999999999994%,33.0,Great Crescent Brewery,Aurora,IN
Zen,12.0 oz.,0.043%,45.0,Rhinegeist Brewery,Cincinnati,OH
Lost River Blonde Ale,16.0 oz,0.049%,,Cutters Brewing Company,Avon,IN
Quaff India Style Session Ale,16.0,0.051,,Fearless Brewing Company,Estacada,OR
Daisy Cutter Pale Ale,16.0 oz,0.052,,Half Acre Beer Company,Chicago,IL
Orabelle,12.0 oz,0.083%,,Great Divide Brewing Company,Denver CO,
Nuit Serpent,16.0 oz,0.05,,Brewery Vivant,Grand Rapids,MI
Missouri Mule India Pale Ale,16.0,0.07%,70.0,Piney River Brewing Company,Bucryus,MO
Davy Jones Lager,12.0,0.06,,Heavy Seas Beer,Halethorpe,MD
American Hero,12.0 oz,0.057,42.0,Liquid Hero Brewery,York,PA
Mission IPA,32.0,0.068,66.0,Mission Brewery,San Diego,CA
Left of the Dial IPA,12.0,0.043,,Notch Brewing Company,Ipswich,MA
Mother in Lager,12.0 oz.,0.057999999999999996%,25.0,Karbach Brewing Company,Houston,TX
Gerry Dog Stout,12.0,0.065,,Big Elm Brewing,Sheffield,MA
Dolores River Mild,16.0 oz,,,Dolores River Brewery,Dolores,CO
Remain in Light,12.0 oz.,0.05,,Cambridge Brewing Company,Cambridge MA,
