beer_name,style,ounces,abv,ibu,brewery_name,city,state
The Sword Iron Swan Ale,English Pale Ale,12.0 oz.,0.059,,Real Ale Brewing Company,Blanco,TX
Provision,Saison / Farmhouse Ale,12.0 oz.,0.042,25.0,Hop Farm Brewing Company,Pittsburgh,PA
1492,American Pale Ale (APA),12.0 oz.,0.065,,Boxcar Brewing Company,West Chester,PA
Lights Out Vanilla Cream Extra Stout,American Double / Imperial IPA,12.0 oz,0.077%,30.0,Worthy Brewing Company,Bend,OR
River North Ale,American Amber / Red Ale,16.0 oz.,0.05,,River North Brewery,Denver,CO
Orabelle,Tripel,12.0 oz,0.083%,,Great Divide Brewing Company,Denver CO,
Macon Progress Ale,American Pale Ale (APA),12.0 ounce,0.05,,Macon Beer Company,Macon,GA
Rise Up Red,American Amber / Red Ale,16.0 oz,0.058,60.0,Hopworks Urban Brewery,Portland,OR
Topcutter India Pale Ale,American IPA,12.0 ounce,0.068,70.0,Bale Breaker Brewing Company,Yakima,WA
Chaotic Double IPA,American Double / Imperial IPA,12.0 ounce,0.099,93.0,Manzanita Brewing Company,Santee,CA
WYLD Extra Pale Ale,American Pale Ale (APA),12.0 oz.,0.04,29.0,Uinta Brewing Company,Salt Lake City,UT
Galena Golden,American Blonde Ale,12.0 oz. Alumi-Tek,0.043%,,Sockeye Brewing Company,Boise ID,
Epicenter Amber Ale (2010),American Amber / Red Ale,12.0 oz.,0.055%,20.0,SanTan Brewing Company,Chandler,AZ
Toasted Lager,Vienna Lager,12.0 ounce,0.055,28.0,Blue Point Brewing Company,Patchogue,NY
Redacted Rye IPA,American IPA,16.0 ounce,0.07,100.0,Renegade Brewing Company,Denver CO,
Michelada,Fruit / Vegetable Beer,16.0 oz,0.052,,Atwater Brewery,Detroit,MI
Bourbon's Barrel Stout,American Stout,16.0 oz,0.075,65.0,Great Crescent Brewery,Aurora,IN
Firefly Amber Ale,American Amber / Red Ale,12.0 oz,0.05,,Jackie O's Pub & Brewery,Athens,OH
Bitter Brewer,English Bitter,16.0 ounce,0.04,37.0,Surly Brewing Company,Brooklyn Center,MN
Mountain Creek (2013),American Pale Lager,12.0 oz.,0.055,,Minhas Craft Brewery,Monroe,WI
Mr. Blue Sky,American Pale Wheat Ale,16.0 oz.,0.045,6.0,Griffin Claw Brewing Company,Birmingham,MI
Tarasque,Saison / Farmhouse Ale,12.0 oz,0.059000000000000004%,,Wiseacre Brewing Company,Memphis,TN
Devil's Cup,American Pale Ale (APA),12.0 oz.,0.066,,18th Street Brewery,Gary,IN
CAPT Black IPA,American Black Ale,12.0 oz.,0.073,55.0,Ruhstaller Beer Company,Sacramento,CA
Mound Builder IPA,American IPA,12.0 oz.,0.065,77.0,People's Brewing Company,Lafayette,IN
Rye Pils Session Lager,German Pilsener,12.0 oz.,0.046,,Deep Ellum Brewing Company,Dallas,TX
Davy Jones Lager,Cream Ale,12.0 OZ.,0.06,,Heavy Seas Beer,Halethorpe,MD
Lazy Daze Lager,American Adjunct Lager,16.0 ounce,0.055%,,Rochester Mills Brewing Company,Rochester,MI
Hans' Pils (2015),German Pilsener,12.0 oz,0.053,52.0,Real Ale Brewing Company,Blanco,TX
JP's Ould Sod Irish Red IPA,American IPA,12.0 oz,0.06%,,James Page Brewing Company,Stevens Point WI,
Monk's Blood,Belgian Dark Ale,12.0 OZ.,0.083,35.0,21st Amendment Brewery,San Francisco,CA
Farmer's Tan Red Ale,American Amber / Red Ale,12.0 oz. Alumi-Tek,0.06,30.0,Tractor Brewing Company,Albuquerque,NM
Longboard Island Lager,American Amber / Red Lager,16.0 oz,0.046%,18.0,Kona Brewing Company,Kona,HI
Chickawawa Lemonale,Fruit / Vegetable Beer,12.0 oz,0.05,5.0,Great River Brewery,Davenport,IA
The Green Room,American IPA,16.0 oz,0.06%,75.0,Uncle Billy's Brewery and Smokeh...,Austin,TX
House Brand IPA,American IPA,12.0 oz.,0.06,55.0,Big River Brewing Company,Chattanooga,TN
Sidekick Extra Pale Ale,American Pale Ale (APA),12.0 oz. Alumi-Tek,0.051%,36.0,Two Brothers Brewing Company,Warrenville,IL
Devils Tramping Ground Tripel,Tripel,12.0 oz.,0.092,5.0,Aviator Brewing Company,Fuquay-Varina,NC
Leroy (2005),American Brown Ale,12.0 oz,0.052000000000000005%,,Oskar Blues Brewery,Lyons,CO
Hard Apple,Cider,16.0 oz,0.068,,Vander Mill Ciders,Spring Lake,MI
