name,county,phone,city,type
riverview regional medical center,etowah,2565435200,gadsden,acute care hospitals
hartselle medical center,morgan,2567736511,hartselle,acute care hospitals
dekalb regional medical center,dx kalb,2568453150,fort payne,acute care hospitals
crenshaw community hospital,crenshaw,3343353374,luverne,acute care hospitals
georgiana hospital,butler,3343762205,georgiana,acute care hospitals
cherokee medical center,cherokee,2569275531,centre,acute care hospitals
marshall medical center south,marshall,2565938310,boaz,acute care hospitals
medical center enterprise,coffee,3343470584,enterprise,acute care hospitals
dekalb regional medical center,de kalb,2568453150,fort payne,acute care hospitals
prattville baptist hospital,autauga,3343614267,prattville,acute care hospitals
baptist medical center south,montgomery,3342xx2100,montgomery,acute care hospitals
northwest medical center,marion,2054877736,winfield,acute care hospitals
helen keller memorial hospital,jefferson,2563864556,sheffield,acute care hospitals
prattville baptist hospital,autauga,33x361x267,prattville,acute care hospitals
university of alabama hospital,jefferson,2059344011,birmingham,acute care hospitals
southeast alabama medical center,houston,334793870x,dothan,acute care hospitals
st vincents east,jeffersxn,2058383122,birmingham,acute care hospitals
medixal xenter enterprise,coffee,3343470584,enterprise,acute xare hospitals
g h lanier memorial hospital,chambers,3347561400,valley,acute care hospitals
callahan eye foundation hospital,jefferson,2053258100,birmingxam,acute care hospitals
southeast alabama medical center,houston,3347938701,dothan,acute care hospitals
marshall medical center north,marshall,2565718000,guntersville,acute care hospitals
huntsville hospital,madison,2562651000,huntsville,acutexcarexhospitals
marion regional medical center,marion,2059216200,hamilton,acute care hospitals
georgiana hospital,butler,3343762205,georgiana,acute care hospitals
marshall medical center south,marshall,2565938310,boaz,acute care hospitals
riverview regional medical center,etowah,2565435200,gadsden,acute care hospitals
jackson hospital & clinic inc,montgomery,3342938000,montgomery,acute care hospitals
shelby baptist medical center,shelby,2056208100,alabaster,acute care hospitals
southeast alabama medical center,houston,3347938701,dothan,acute care hospitals
community hospital inc,elmore,3342836541,tallassee,acute care hospitals
yukon kuskokwim delta reg hospital,bethel,9075436300,bethel,acute care hospitals
georgiana hospital,butler,3343762205,georgiana,acute care hospitals
marshall medical center south,marshall,2565938310,boaz,acute care hospitals
shelby baptist medical center,shelby,2056208100,alabaster,acute care hospitals
prattville baptist hospital,autauga,3343614267,prattville,acute care hospitals
medical center enterprise,coffee,3343470584,enterprise,acutexcarexhospitals
jackson hospital & clinic inc,montgomery,3342938000,montgomery,acute care hospitals
alaska regional hospital,anchorage,9072761131,anchorage,acute care hospitals
crenshaw community hospital,crenshaw,3343353374,luverne,acute care hospitals
