HospitalName,CountyName,PhoneNumber,City,HospitalType
stringfellow memorial hospital,calhoun,2562358900,anniston,acute care hospitals
marshall medical center south,marshall,2565938310,boaz,acute care hospitals
marion regional medical center,marion,2059216200,hamilton,acute care hospitals
cullman regional medical center,cullman,2567372000,cullman,acute care hospitals
southwest alabama medical center,clarke,3346366221,thomasville,acute care hospitals
riverview regional medical center,etowah,2565435200,gadsden,acute care hospitals
medical center enterprise,coffee,3343470584,enterprise,acute care hospitals
cullman regional medical center,cullman,2567372000,cullman,acute care hospitals
cullman regional medical center,cullman,2567372000,cullman,acute care hospitals
stringfellow memorial hospital,calhoun,2562358900,anniston,acute care hospitals
coosa valley medical center,talladega,2562495000,sylacauga,acute care hospitals
alaska regional hospital,anchorage,9072761131,anchorage,acute care hospitals
stringfellow memorial hospital,calhoun,2562358900,anniston,acute care hospitals
southeast alabama medical center,houston,3347938701,dothan,acute care hospitals
university of alabama hospital,jefferson,2059344011,birmingham,acute care hospitals
crenshaw community hospital,crenshaw,3343353374,luverne,acute care hospitals
marshall medical center north,marshall,2565718000,guntersville,acute care hospitals
coosa valley medical center,talladega,2562495000,sylacauga,acute care hospitals
marion regional medical center,marion,2059216200,hamilton,acute care hospitals
community hospital inc,elmore,3342836541,tallassee,acute care hospitals
univ of south alabama medical center,mobile,2514717110,mobile,acute care hospitals
marshall medical center north,marshall,2565718000,guntersville,acute care hospitals
fayette medical center,fayette,2059325966,fayette,acute care hospitals
hartselle medical center,morgan,2567736511,hartselle,acute care hospitals
medical center enterprise,coffee,3343470584,enterprise,acute care hospitals
huntsville hospital,madison,2562651000,huntsville,acute care hospitals
decatur general hospital,morgan,2563412000,decatur,acute care hospitals
riverview regional medical center,etowah,2565435200,gadsden,acute care hospitals
jackson hospital & clinic inc,montgomery,3342938000,montgomery,acute care hospitals
community hospital inc,elmore,3342836541,tallassee,acute care hospitals
mizell memorial hospital,covington,3344933541,opp,acute care hospitals
southeast alabama medical center,houston,3347938701,dothan,acute care hospitals
crenshaw community hospital,crenshaw,3343353374,luverne,acute care hospitals
hartselle medical center,morgan,2567736511,hartselle,acute care hospitals
university of alabama hospital,jefferson,2059344011,birmingham,acute care hospitals
fayette medical center,fayette,2059325966,fayette,acute care hospitals
prattville baptist hospital,autauga,3343614267,prattville,acute care hospitals
jackson hospital & clinic inc,montgomery,3342938000,montgomery,acute care hospitals
huntsville hospital,madison,2562651000,huntsville,acute care hospitals
east alabama medical center and snf,lee,3347493411,opelika,acute care hospitals
