Event,City,Year,Participants,Organizer,Organizer_Country
Chess Masters Cup,Tokyo,2024,12,Alireza Firouzja,France
International Chess League,New York,2024,24,Anish Giri,Netherlands
Chess Master Tournament,Moscow,2022,32,Anish Giri,Netherlands
Chess Grand Prix,Berlin,1995,20,Hikaru Nakamura,USA
Chess Masters Cup,Tokyo,2022,300,Alireza Firouzja,France
Chess Grand Prix,Berlin,2023,6,Alireza Firouzja,France
Chess Tournament Finals,Vienna,2023,16,Alireza Firouzja,Japan
Chess Master Tournament,Moscow ERROR,2024,32,Magnus Carlsen,Norway
Chess Master Tournament,Moscow,2024,32,Fabiano Caruana,Canada
Chess Masters Cup,Tokyo,2050,12,Ding Liren,China
Open Chess Championship,Paris,2050,64,Fabiano Caruana,Canada
Open Chess Championship,Paris,2023,64,Fabiano Caruana,USA
Chess Master Tournament,MOSCOW!!!,2024,32,Hikaru Nakamura,Sweden
International Chess League,New York,2050,2,Fabiano Caruana,USA
Chess Masters Cup,Tokyo,2023,12,Ian Nepomniachtchi,Russia
International Chess League,New York,2022,6,Hikaru Nakamura,USA
World Chess Championship,London,2024,300,Ding Liren,China
Chess Master Tournament,Moscow,1995,32,Fabiano Caruana,USA
Chess Masters Cup,Tokyo,2022,150,Wesley So,USA
Chess Tournament Finals,Vienna,2023,16,Anish Giri,Netherlands
Open Chess Championship 123,Paris,2022,64,Ding Liren,China
Chess Masters Cup,Tokyo,2023,12,Alireza Firouzja,India
Chess Master Tournament,Moscow,2023,32,Fabiano Caruana,USA
Chess Master Tournament,Moscow,2022,32,Alireza Firouzja,France
Chess Grand Prix,Berlin,2022,4,Wesley So,USA
International Chess League,New York,2024,24,Ding Liren,China
Chess Master Tournament,Moscow,2023,32,Anish Giri,Netherlands
Chess Tournament Finals,Vienna,2022,16,Wesley So,USA
Chess Grand Prix,Berlin,2030,20,Alireza Firouzja,France
World Chess Championship,London,2024,16,Fabiano Caruana,USA
International Chess League,New York,2024,24,Magnus Carlsen,Norway
World Chess Championship,London,2023,16,Ian Nepomniachtchi,Russia
Chess Grand Prix,Berlin,2024,20,Hikaru Nakamura,USA
World Chess Championship,London,2024,16,Wesley So,Japan
International Chess League,New York,2030,24,Fabiano Caruana,Sweden
Open Chess Championship,Paris,2024,64,Hikaru Nakamura,USA
Open Chess Championship,Paris,2023,64,Wesley So,Japan
Chess Masters Cup,Tokyo,2023,12,Wesley So,USA
Chess Masters Cup,Tokyo,2024,300,Hikaru Nakamura,USA
Elite Chess Series,Madrid,2022,300,Ian Nepomniachtchi,Russia
Chess Masters Cup,Tokyo,2022,200,Ian Nepomniachtchi,Russia
International Chess League,New York,2022,24,Hikaru Nakamura,USA
Elite Chess Series,Madrid,1995,8,Fabiano Caruana,USA
Open_SPACE_Chess_SPACE_Championship,Paris,2022,64,Alireza Firouzja,France
Elite Chess Series,Madrid,2023,8,Hikaru Nakamura,USA
