Event,Format,White_Player,White_Country,White_Rating,Black_Player,Black_Country,Black_Rating,Result,Moves,Date
Chess Tournament Finals,Classical,Fabiano Caruana,USA,2790,Anish Giri,Netherlands,2760,1/2-1/2,48,2023-05-07
Chess Masters Cup,Rapid,Magnus Carlsen,Norway,2830,Alireza Firouzja,France,2740,0-1,48,2023-09-02
Elite Chess Series,Rapid,Hikaru Nakamura,USA,2760,Wesley So,USA,2750,1-0,45,2023-08-16
Open Chess Championship,Classical,Ding Liren,China,2780,Ian Nepomniachtchi,Russia,2770,1/2-1/2,45,2023-06-09
Elite Chess Series,Classical,Hikaru Nakamura,USA,2760,Alireza Firouzja,France,2740,1/2-1/2,28,2023-10-11
Chess Masters Cup,Rapid,Ding Liren,China,2780,Alireza Firouzja,France,2740,1/2-1/2,37,2023-10-28
International Chess League,Rapid,Alireza Firouzja,France,2740,Fabiano Caruana,USA,2790,1-0,49,2023-02-23
Chess Master Tournament,Classical,Hikaru Nakamura,USA,2760,Anish Giri,Netherlands,2760,1/2-1/2,62,2023-02-22
Chess Grand Prix,Blitz,Ian Nepomniachtchi,Russia,2770,Wesley So,USA,2750,1/2-1/2,38,2023-01-21
Elite Chess Series,Rapid,Hikaru Nakamura,USA,2760,Wesley So,USA,2750,1/2-1/2,41,2023-08-06
International Chess League,Rapid,Fabiano Caruana,USA,2790,Ian Nepomniachtchi,Russia,2770,1-0,21,2023-12-26
World Chess Championship,Classical,Fabiano Caruana,USA,2790,Ding Liren,China,2780,0-1,23,2023-04-05
International Chess League,Classical,Alireza Firouzja,France,2740,Wesley So,USA,2750,1/2-1/2,71,2023-06-20
Chess Master Tournament,Classical,Fabiano Caruana,USA,2790,Magnus Carlsen,Norway,2830,1/2-1/2,54,2023-01-25
Chess Grand Prix,Classical,Hikaru Nakamura,USA,2760,Wesley So,USA,2750,0-1,41,2023-10-13
Chess Masters Cup,Blitz,Ding Liren,China,2780,Ian Nepomniachtchi,Russia,2770,0-1,75,2023-12-06
International Chess League,Rapid,Magnus Carlsen,Norway,2830,Ian Nepomniachtchi,Russia,2770,1/2-1/2,20,2023-06-15
World Chess Championship,Classical,Alireza Firouzja,France,2740,Fabiano Caruana,USA,2790,1-0,36,2023-04-03
Open Chess Championship,Classical,Wesley So,USA,2750,Ding Liren,China,2780,1/2-1/2,66,2023-04-10
Chess Tournament Finals,Blitz,Fabiano Caruana,USA,2790,Ding Liren,China,2780,0-1,41,2023-01-15
Chess Tournament Finals,Blitz,Hikaru Nakamura,USA,2760,Ian Nepomniachtchi,Russia,2770,1/2-1/2,33,2023-09-02
International Chess League,Blitz,Alireza Firouzja,France,2740,Magnus Carlsen,Norway,2830,1-0,39,2023-08-24
Chess Masters Cup,Rapid,Wesley So,USA,2750,Fabiano Caruana,USA,2790,0-1,42,2023-05-04
Chess Grand Prix,Rapid,Fabiano Caruana,USA,2790,Anish Giri,Netherlands,2760,1-0,67,2023-08-03
International Chess League,Rapid,Anish Giri,Netherlands,2760,Ding Liren,China,2780,0-1,49,2023-05-23
Elite Chess Series,Rapid,Fabiano Caruana,USA,2790,Hikaru Nakamura,USA,2760,1-0,74,2023-03-08
Elite Chess Series,Classical,Fabiano Caruana,USA,2790,Ian Nepomniachtchi,Russia,2770,1/2-1/2,62,2023-03-28
Chess Masters Cup,Classical,Anish Giri,Netherlands,2760,Ding Liren,China,2780,1-0,22,2023-04-19
World Chess Championship,Classical,Fabiano Caruana,USA,2790,Hikaru Nakamura,USA,2760,0-1,62,2023-12-07
Chess Masters Cup,Rapid,Ding Liren,China,2780,Alireza Firouzja,France,2740,1/2-1/2,51,2023-12-24
Chess Tournament Finals,Blitz,Hikaru Nakamura,USA,2760,Anish Giri,Netherlands,2760,1-0,80,2023-11-28
International Chess League,Rapid,Wesley So,USA,2750,Alireza Firouzja,France,2740,1/2-1/2,65,2023-02-03
Chess Masters Cup,Rapid,Magnus Carlsen,Norway,2830,Anish Giri,Netherlands,2760,0-1,39,2023-05-17
Elite Chess Series,Classical,Ding Liren,China,2780,Wesley So,USA,2750,1/2-1/2,72,2023-11-18
World Chess Championship,Classical,Alireza Firouzja,France,2740,Ian Nepomniachtchi,Russia,2770,0-1,75,2023-07-17
Chess Master Tournament,Blitz,Fabiano Caruana,USA,2790,Wesley So,USA,2750,0-1,73,2023-01-14
Chess Master Tournament,Blitz,Magnus Carlsen,Norway,2830,Ding Liren,China,2780,0-1,26,2023-09-17
Chess Masters Cup,Classical,Magnus Carlsen,Norway,2830,Wesley So,USA,2750,0-1,64,2023-01-07
Chess Masters Cup,Rapid,Anish Giri,Netherlands,2760,Magnus Carlsen,Norway,2830,1-0,59,2023-06-03
International Chess League,Rapid,Alireza Firouzja,France,2740,Anish Giri,Netherlands,2760,0-1,19,2023-02-19
Chess Tournament Finals,Blitz,Ian Nepomniachtchi,Russia,2770,Wesley So,USA,2750,1/2-1/2,39,2023-09-17
Chess Grand Prix,Rapid,Anish Giri,Netherlands,2760,Ding Liren,China,2780,0-1,54,2023-07-09
Chess Grand Prix,Blitz,Magnus Carlsen,Norway,2830,Alireza Firouzja,France,2740,1-0,48,2023-01-23
Chess Masters Cup,Blitz,Ian Nepomniachtchi,Russia,2770,Anish Giri,Netherlands,2760,0-1,51,2023-06-06
Chess Masters Cup,Blitz,Anish Giri,Netherlands,2760,Ding Liren,China,2780,0-1,70,2023-04-27
Chess Masters Cup,Classical,Anish Giri,Netherlands,2760,Wesley So,USA,2750,0-1,71,2023-12-10
Elite Chess Series,Rapid,Alireza Firouzja,France,2740,Ian Nepomniachtchi,Russia,2770,1/2-1/2,39,2023-01-27
International Chess League,Classical,Magnus Carlsen,Norway,2830,Alireza Firouzja,France,2740,0-1,45,2023-02-23
Elite Chess Series,Blitz,Hikaru Nakamura,USA,2760,Ian Nepomniachtchi,Russia,2770,0-1,37,2023-06-24
Chess Masters Cup,Rapid,Fabiano Caruana,USA,2790,Magnus Carlsen,Norway,2830,0-1,50,2023-12-22
World Chess Championship,Blitz,Alireza Firouzja,France,2740,Ding Liren,China,2780,1/2-1/2,56,2023-05-10
Chess Tournament Finals,Classical,Fabiano Caruana,USA,2790,Wesley So,USA,2750,1/2-1/2,37,2023-07-09
Chess Grand Prix,Blitz,Magnus Carlsen,Norway,2830,Alireza Firouzja,France,2740,1-0,76,2023-11-24
Chess Masters Cup,Blitz,Wesley So,USA,2750,Hikaru Nakamura,USA,2760,1/2-1/2,35,2023-05-21
Chess Masters Cup,Classical,Fabiano Caruana,USA,2790,Alireza Firouzja,France,2740,1/2-1/2,20,2023-07-07
Chess Master Tournament,Rapid,Anish Giri,Netherlands,2760,Fabiano Caruana,USA,2790,1-0,41,2023-11-15
Chess Grand Prix,Classical,Wesley So,USA,2750,Magnus Carlsen,Norway,2830,0-1,57,2023-12-04
Chess Grand Prix,Blitz,Anish Giri,Netherlands,2760,Wesley So,USA,2750,0-1,43,2023-03-22
Chess Masters Cup,Classical,Hikaru Nakamura,USA,2760,Alireza Firouzja,France,2740,0-1,32,2023-04-16
World Chess Championship,Rapid,Magnus Carlsen,Norway,2830,Wesley So,USA,2750,0-1,70,2023-01-25
