Event,Format,White_Player,White_Country,White_Rating,Black_Player,Result
Elite Chess Series,Blitz,Alireza Firouzja,France,2740,Ian Nepomniachtchi,0-1
Open Chess Championship,Blitz,Magnus Carlsen,Norway,2830,Wesley So,1/2-1/2
Elite Chess Series,Classical,Ian Nepomniachtchi,Russia,2770,Alireza Firouzja,1-0
World Chess Championship,Rapid,Ian Nepomniachtchi,Russia,2770,Hikaru Nakamura,1/2-1/2
World Chess Championship,Rapid,Anish Giri,Netherlands,2760,Hikaru Nakamura,0-1
Chess Grand Prix,Rapid,Ding Liren,China,2780,Magnus Carlsen,0-1
World Chess Championship,Rapid,Hikaru Nakamura,USA,2760,Alireza Firouzja,1/2-1/2
Elite Chess Series,Rapid,Hikaru Nakamura,USA,2760,Alireza Firouzja,0-1
Chess Tournament Finals,Classical,Anish Giri,Netherlands,2760,Fabiano Caruana,1/2-1/2
Chess Grand Prix,Classical,Wesley So,USA,2750,Hikaru Nakamura,0-1
Elite Chess Series,Rapid,Hikaru Nakamura,USA,2760,Magnus Carlsen,0-1
Chess Tournament Finals,Rapid,Wesley So,USA,2750,Alireza Firouzja,1-0
Chess Tournament Finals,Classical,Ian Nepomniachtchi,Russia,2770,Anish Giri,1/2-1/2
World Chess Championship,Classical,Alireza Firouzja,France,2740,Hikaru Nakamura,0-1
World Chess Championship,Blitz,Hikaru Nakamura,USA,2760,Wesley So,0-1
International Chess League,Classical,Ding Liren,China,2780,Hikaru Nakamura,0-1
Chess Master Tournament,Rapid,Magnus Carlsen,Norway,2830,Wesley Sox,1-0
Chess Tournament Finals,Blitz,Ian Nepomniachtchi,Russia,2770,Ding Liren,1-0
Open Chess Championship,Blitz,Ding Liren,China,2780,Alireza Firouzja,1/2-1/2
Elite Chess Series,Rapid,Magnus Carlsen,Norway,2830,Alireza Firouzja,1/2-1/2
Elite Chess Series,Blitz,Fabiano Caruana,USA,2790,Alireza Firouzja,0-1
World Chess Championship,Blitz,Fabiano Caruana,USA,2790,Hikaru Nakamura,1/2-1/2
Open Chess Championship,Classical,Hikaru Nakamura,USA,2760,Fabiano Caruana,1/2-1/2
Elite Chess Series,Blitz,Alireza Firouzja,France,2740,Hikaru Nakamura,1/2-1/2
Chess Grand Prix,Classical,Hikaru Nakamura,USA,2760,Ian Nepomniachtchi,1-0
Chess Master Tournament,Rapid,Wesley So,USA,2750,Fabiano Caruanax,1-0
World Chess Championship,Rapid,Ian Nepomniachtchi,Russia,2770,Wesley So,0-1
Chess Grand Prix,Classical,Alireza Firouzja,France,2740,Ding Liren,0-1
International Chess League,Blitz,Fabiano Caruana,USA,2790,Anish Giri,1/2-1/2
World Chess Championship,Rapid,Magnus Carlsen,Norway,2830,Alireza Firouzja,0-1
Chess Master Tournamentx,Blitz,Fabiano Caruana,USA,2782,Wesley So,1-0
World Chess Championship,Rapid,Wesley So,USA,2750,Hikaru Nakamura,1-0
Chess Masters Cup,Classical,Magnus Carlsen,Norway,2830,Ian Nepomniachtchi,1-0
Elite Chess Series,Rapid,Ian Nepomniachtchi,Russia,2770,Fabiano Caruana,0-1
World Chess Championship,Classical,Fabiano Caruana,USA,2790,Ding Lirenx,1-0
Chess Master Tournament,Blitz,Hikaru Nakamura,USA,2760,Magnus Carlsen,0-1
Chess Grand Prix,Rapid,Magnus Carlsen,Norway,2787,Hikaru Nakamura,1-0
Chess Masters Cup,Blitz,Ian Nepomniachtchi,Russia,2768,Hikaru Nakamura,0-1
International Chess League,Classical,Ian Nepomniachtchi,Russia,2770,Ding Liren,1-0
Chess Grand Prix,Blitz,Magnus Carlsen,Norway,2830,Ian Nepomniachtchi,1-0
Chess Masters Cup,Blitz,Fabiano Caruana,USA,2790,Wesley So,1-0
Chess Grand Prix,Rapid,Alireza Firouzja,France,2740,Wesley So,0-1
Chess Grand Prix,Rapid,Ian Nepomniachtchi,Russia,2770,Ding Liren,1/2-1/2
International Chess League,Rapid,Fabiano Caruana,USA,2790,Wesley So,1-0
World Chess Championship,Rapid,Hikaru Nakamura,USA,2728,Fabiano Caruana,0-1
Chess Master Tournament,Rapid,Fabiano Caruana,USA,2800,Ding Liren,0-1
International Chess League,Rapid,Wesley So,USA,2750,Ian Nepomniachtchi,1-0
World Chess Championship,Rapid,Fabiano Caruana,USA,2790,Alireza Firouzja,0-1
Chess Master Tournament,Classical,Wesley So,USA,2750,Ian Nepomniachtchi,1-0
Chess Master Tournamentx,Rapid,Anish Giri,Netherlands,2760,Fabiano Caruana,1-0
Chess Master Tournament,Classical,Magnus Carlsen,Norway,2830,Ian Nepomniachtchi,0-1
Chess Tournament Finals,Classical,Magnus Carlsen,Norway,2830,Alireza Firouzja,1-0
Open Chess Championship,Rapid,Fabiano Caruana,USA,2834,Magnus Carlsen,1/2-1/2
Elite Chess Series,Blitz,Ian Nepomniachtchi,Russia,2770,Wesley So,1-0
Chess Masters Cup,Blitz,Fabiano Caruana,USA,2807,Wesley So,0-1
World Chess Championship,Classical,Hikaru Nakamura,USA,2760,Ding Liren,1/2-1/2
International Chess League,Classical,Ding Liren,China,2780,Magnus Carlsen,1-0
Chess Master Tournament,Classical,Magnus Carlsen,Norway,2830,Ian Nepomniachtchi,1/2-1/2
Chess Tournament Finals,Rapid,Ding Liren,China,2780,Hikaru Nakamura,1-0
International Chess League,Classical,Hikaru Nakamura,USA,2760,Ian Nepomniachtchi,1-0
