Pokemon_Name,Pokemon_Type,Move_Name,Move_Type,Power,Accuracy,Category
Blastoise,Water,Surf,Water,90,100,Special
Charizard,Fire,Flamethrower,Fire,90,100,Special
Gengar,Ghost,Shadow Ball,Ghost,80,100,Special
Machamp,Fighting,Close Combat,Fighting,120,100,Physical
Lucario,Fighting,Close Combat,Fighting,120,100,Physical
Dragonite,Dragon,Dragon Pulse,Dragon,85,100,Special
Gengar,Ghost,Shadow Ball,Ghost,80,100,Special
Mewtwo,Psychic,Dragon Pulse,Dragon,85,100,Special
Machamp,Fighting,Shadow Ball,Ghost,80,100,Special
Charizard,Fire,Flamethrower,Fire,90,100,Special
Gengar,Ghost,Shadow Ball,Ghost,80,100,Special
Blastoise,Water,Surf,Water,90,100,Special
Alakazam,Psychic,Psychic,Psychic,90,100,Special
Alakazam,Psychic,Psychic,Psychic,90,100,Special
Gengar,Ghost,Shadow Ball,Ghost,80,100,Special
Blastoise,Water,Ice Beam,Ice,90,100,Special
Machamp,Fighting,Close Combat,Fighting,120,100,Physical
Blastoise,Water,Surf,Water,90,100,Special
Charizard,Fire,Flamethrower,Fire,90,100,Special
Alakazam,Psychic,Psychic,Psychic,90,100,Special
Venusaur,Grass,Solar Beam,Grass,120,100,Special
Mewtwo,Psychic,Shadow Ball,Ghost,80,100,Special
Gengar,Ghost,Shadow Ball,Ghost,80,100,Special
Mewtwo,Psychic,Psychic,Psychic,90,100,Special
Gengar,Ghost,Ice Beam,Ice,90,100,Special
Charizard,Fire,Flamethrower,Fire,90,100,Special
Dragonite,Dragon,Thunderbolt,Electric,90,100,Special
Lucario,Fighting,Close Combat,Fighting,120,100,Physical
Alakazam,Psychic,Psychic,Psychic,90,100,Special
Charizard,Fire,Flamethrower,Fire,90,100,Special
Pikachu,Electric,Thunderbolt,Electric,90,100,Special
Mewtwo,Psychic,Psychic,Psychic,90,100,Special
Venusaur,Grass,Solar Beam,Grass,120,100,Special
Venusaur,Grass,Solar Beam,Grass,120,100,Special
Lucario,Fighting,Iron Head,Steel,80,100,Physical
Venusaur,Grass,Solar Beam,Grass,120,100,Special
Alakazam,Psychic,Psychic,Psychic,90,100,Special
Dragonite,Dragon,Dragon Pulse,Dragon,85,100,Special
Lucario,Fighting,Close Combat,Fighting,120,100,Physical
Machamp,Fighting,Psychic,Psychic,90,100,Special
Lucario,Fighting,Close Combat,Fighting,120,100,Physical
Charizard,Fire,Flamethrower,Fire,90,100,Special
Machamp,Fighting,Close Combat,Fighting,120,100,Physical
Mewtwo,Psychic,Psychic,Psychic,90,100,Special
Dragonite,Dragon,Surf,Water,90,100,Special
Mewtwo,Psychic,Psychic,Psychic,90,100,Special
Venusaur,Grass,Solar Beam,Grass,120,100,Special
Machamp,Fighting,Close Combat,Fighting,120,100,Physical
Blastoise,Water,Iron Head,Steel,80,100,Physical
Alakazam,Psychic,Psychic,Psychic,90,100,Special
