Pokemon_Name,Pokemon_Type,Move_Name,Move_Type,Power,Accuracy,Category
Lucario,Fighting,Close Combat,Fighting,120,150,Physical
Machamp,Fighting,Dragon Pulse,Dragon,85,100,Special
Gengar,Ghost,Shadow Ball,Ghost,80,100,Special
Alakazam,Psychic,Psychic,Psychic,90,100,Special
Alakazam,Psychic,Flamethrower,Fire,90,100,Special
Machamp,Fighting,Close Combat,Fighting,120,100,Physical
Charizard,Fire,Ice Beam,Ice,90,100,Special
Dragonite,Dragon,Dragon Pulse,Dragon,85,100,Special
Pikachu,Electric,Thunderbolt,Electric,90,100,Special
Dragonite,Dragon,Solar Beam,Grass,120,100,Special
Gengar,Ghost,Shadow Ball,Ghost,80,100,Special
Mewtwo,Psychic,Psychic,Psychic,90,150,Special
Charizard,Fire,Surf,Fighting,90,100,Special
Lucario,Fighting,Close Combat,Fighting,120,100,Physical
Pikachu,Electric,Thunderbolt,Fighting,90,100,Special
Mewtwo,Psychic,Psychic,Psychic,90,100,Special
Lucario,Fighting,Close Combat,Fighting,120,1,Physical
Alakazam,Psychic,Psychic,Fire,90,100,Special
Alakazam,Psychic,Psychic,Psychic,90,100,Special
Charizard,Fire,Flamethrower,Grass,90,100,Special
Pikachu,Electric,Solar Beam,Grass,120,100,Special
Lucario,Fighting,Shadow Ball,Ghost,80,100,Special
Alakazam,Psychic,Psychic,Electric,90,100,Special
Pikachu,Electric,Dragon Pulse,Fighting,85,100,Special
Blastoise,Water,Surf,Ghost,90,100,Special
Mewtwo,Dragon,Psychic,Psychic,90,100,Special
Pikachu,Electric,Close Combat,Fighting,120,100,Physical
Venusaur,Grass,Solar Beam,Electric,120,100,Special
Pikachu,Electric,Dragon Pulse,Dragon,85,100,Special
Machamp,Fighting,Close Combat,Fighting,120,100,Physical
Pikachu,Electric,Thunderbolt,Electric,90,100,Special
Lucario,Fighting,Thunderboltx,Electric,90,100,Special
Mewtwo,Psychic,Psychic,Psychic,90,100,Special
Gengar,Ghost,Shadow Ball,Ghost,80,100,Special
Machamp,Fighting,Close Combat,Fighting,120,100,Physical
Pikachu,Electric,Thunderbolt,Fighting,90,100,Special
Mewtwo,Psychic,Psychic,Psychic,90,100,Special
Pikachu,Electric,Thunderbolt,Electric,90,100,Special
Gengar,Ghost,Shadow Ball,Ghost,80,100,Special
Charizard,Fire,Flamethrower,Fire,90,100,Special
Gengar,Ghost,Thunderbolt,Electric,90,100,Special
Dragonite,Dragon,Dragon Pulse,Dragon,85,100,Special
Pikachu,Electric,Ice Beam,Ice,90,100,Special
Machamp,Fighting,Close Combat,Fighting,120,100,Physical
Lucario,Fighting,Close Combat,Dragon,120,100,Physical
Charizard,Fire,Flamethrower,Fire,90,100,Special
Blastoise,Water,Surf,Water,90,100,Special
Dragonite,Dragon,Dragon Pulse,Dragon,85,1,Special
Charizard,Fire,Flamethrower,Fire,90,100,Special
Charizard,Fire,Flamethrower,Fire,90,100,Special
