Pokemon_Name,Pokemon_Type,Pokemon_HP,Pokemon_Attack,Pokemon_Defense
Electric Mouse Pokemon,Fire Type Flame,127,71,99
Fire Dragon Pokemon,Water Type Liquid,64,34,144
Water Turtle Pokemon,Grass Type Plant,112,56,73
Electric Mouse Pokemon,Electric Type Energy,100,162,32
Fire@Dragon@Poke#mon183,Psychic Type Mental,121,117,51
CORRUPTED_CREATURE_ERROR,Grass Type Plant,46,90,61
Water Turtle Pokemon,Psychic Type Mental,143,8888,112
Water Turtle Pokemon,Psychic Type Mental,96,72,68
INVALID_POKEMON_TYPE_XXX,Fire Type Flame,61,128,78
BROKEN_POKEMON_DATA,Grass Type Plant,103,37,8888
Ghost@Shadow@Poke#mon435,Dragon Type Mystic,99,83,107
ERROR_CREATURE_SPECIES,Fighting Type Physical,1,45,32
UNKNOWN_POKEMON_SPECIES_999,SYSTEM_POKEMON_FAILURE,107,80,152
Electric Mouse Pokemon,Water Type Liquid,81,81,104
UNKNOWN_POKEMON_SPECIES_999,Grass Type Plant,9999,85,9000
Grass Seed Pokemon,UNKNOWN_POKEMON_SPECIES_999,118,163,31
Grass Seed Pokemon,Fighting Type Physical,79,160,128
Fighting Muscle Pokemon,Water Type Liquid,84,83,2
ERROR_CREATURE_SPECIES,Water Type Liquid,143,8888,69
Dragon Wing Pokemon,Ghost Type Spirit,99,140,52
Electric Mouse Pokemon,CORRUPTED_CREATURE_ERROR,43,33,-88
INVALID_POKEMON_TYPE_XXX,Dragon Type Mystic,143,125,8888
Fighting Muscle Pokemon,Electric Type Energy,115,95,35
Dragon Wing Pokemon,Psychic Type Mental,80,110,143
Fire Dragon Pokemon,Fighting Type Physical,5000,98,156
Grass Seed Pokemon,Water Type Liquid,150,142,84
Psychic Humanoid Pokemon,Grass Type Plant,-99,2,128
Water Turtle Pokemon,Ghost Type Spirit,136,33,72
ERROR_CREATURE_SPECIES,Ghost Type Spirit,94,9000,34
INVALID_POKEMON_TYPE_XXX,Fighting Type Physical,133,161,95
Fighting Muscle Pokemon,CORRUPTED_CREATURE_ERROR,82,8888,113
Electric Mouse Pokemon,Psychic Type Mental,59,68,129
CORRUPTED_CREATURE_ERROR,Water Type Liquid,101,61,74
Fire Dragon Pokemon,Fire Type Flame,1,153,2
Water Turtle Pokemon,Grass Type Plant,85,138,84
